이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
카페C-three,커피 전문점,장전동,부산광역시 금정구 장전동 613-14,부산광역시 금정구 식물원로39번길 15,129.0840379,35.2240913
마미스카페,커피 전문점,온천동,부산광역시 동래구 온천동 281-1,부산광역시 동래구 우장춘로 157-58,129.0749148,35.22118417
카페아담,커피 전문점,장전동,부산광역시 금정구 장전동 103-29,부산광역시 금정구 수림로72번길 26,129.0848269,35.2411905
글래드커피,커피 전문점,장전동,부산광역시 금정구 장전동 106-2,부산광역시 금정구 금강로379번길 13,129.0856782,35.24183366
씨드,커피 전문점,구서동,부산광역시 금정구 구서동 203-5,부산광역시 금정구 구서중앙로15번길 20,129.0890516,35.25386882
로타리,커피 전문점,온천동,부산광역시 동래구 온천동 1423-2,부산광역시 동래구 미남로 146,129.0698205,35.2069611
이디야 부산온천장역점,커피 전문점,온천동,부산광역시 동래구 온천동 153-12,부산광역시 동래구 온천장로119번길 7,129.0843285,35.22128372
카페미유,커피 전문점,온천동,부산광역시 동래구 온천동 1582-2,부산광역시 동래구 쇠미로 152-1,129.0618757,35.20409586
오늘달이참밝네요,커피 전문점,부곡동,부산광역시 금정구 부곡동 304-1,부산광역시 금정구 부곡로 107,129.0913701,35.22565895
퓌어밀쉬,커피 전문점,구서동,부산광역시 금정구 구서동 472-24,부산광역시 금정구 금강로403번길 11,129.0868771,35.24403882
컴포즈커피,커피 전문점,구서동,부산광역시 금정구 구서동 414-3,부산광역시 금정구 구서로 11,129.0896337,35.24658653
샵인,커피 전문점,장전동,부산광역시 금정구 장전동 360-9,부산광역시 금정구 금강로 231,129.0840818,35.22881256
금낭화,기타 비알코올 음료점업,장전동,부산광역시 금정구 장전동 501-112,부산광역시 금정구 금샘로 44,129.0767757,35.22956899
티제이,커피 전문점,온천동,부산광역시 동래구 온천동 784-29,부산광역시 동래구 금강로8번가길 23,129.0729394,35.2117379
카페라보엠,커피 전문점,부곡동,부산광역시 금정구 부곡동 235-20,부산광역시 금정구 중앙대로1685번길 31,129.0899258,35.23485758
토트,커피 전문점,부곡동,부산광역시 금정구 부곡동 14-2,부산광역시 금정구 중앙대로 1784,129.0937423,35.2436048
쓰리라벨즈,커피 전문점,장전동,부산광역시 금정구 장전동 146-12,부산광역시 금정구 수림로85번길 59,129.0831102,35.23720096
카페파스쿠찌 남산점,커피 전문점,구서동,부산광역시 금정구 구서동 1032-9,부산광역시 금정구 금샘로 351,129.084598,35.25455844
빈스에스프레소,커피 전문점,장전동,부산광역시 금정구 장전동 267-2,부산광역시 금정구 금강로279번길 81-4,129.083694,35.23555081
오직그대만,커피 전문점,장전동,부산광역시 금정구 장전동 419-50,부산광역시 금정구 금강로 275,129.0853578,35.23275562
뉴욕컴퍼니하우스와플,커피 전문점,부곡동,부산광역시 금정구 부곡동 297-1,부산광역시 금정구 중앙대로 1616,129.090895,35.22854182
공차 부산대점,기타 비알코올 음료점업,장전동,부산광역시 금정구 장전동 308-4,부산광역시 금정구 금정로68번길 22,129.087671,35.23044484
컴포즈커피 미남역점,커피 전문점,온천동,부산광역시 동래구 온천동 1249-2,부산광역시 동래구 아시아드대로231번길 3,129.0670926,35.20460164
더다락,커피 전문점,장전동,부산광역시 금정구 장전동 316-11,부산광역시 금정구 금정로60번길 6,129.0866551,35.22980453
커피레몬,커피 전문점,온천동,부산광역시 동래구 온천동 1437-23,부산광역시 동래구 충렬대로137번길 10,129.0758429,35.20588471
카페누베,커피 전문점,장전동,부산광역시 금정구 장전동 417-20,부산광역시 금정구 금정로 85-10,129.0863704,35.2319812
지은카페플라워,커피 전문점,구서동,부산광역시 금정구 구서동 258-9,부산광역시 금정구 금강로446번길 27,129.0894148,35.24832952
서빙고,기타 비알코올 음료점업,장전동,부산광역시 금정구 장전동 293-90,부산광역시 금정구 장전로12번길 9,129.0875266,35.22823952
커피짓,커피 전문점,장전동,부산광역시 금정구 장전동 145-23,부산광역시 금정구 금강로321번길 66,129.082908,35.23702421
유실물보관소,커피 전문점,부곡동,부산광역시 금정구 부곡동 274-14,부산광역시 금정구 동부곡로5번길 83,129.0928305,35.22949962
모란,기타 비알코올 음료점업,부곡동,부산광역시 금정구 부곡동 325-31,부산광역시 금정구 동현로 17,129.0904033,35.22350389
노스북문점,커피 전문점,장전동,부산광역시 금정구 장전동 145-7,부산광역시 금정구 수림로85번길 56,129.082787,35.23744983
한국에너지,커피 전문점,온천동,부산광역시 동래구 온천동 1370-2,부산광역시 동래구 여고북로 43-3,129.0676902,35.20088768
히컵커피,커피 전문점,장전동,부산광역시 금정구 장전동 219-3,부산광역시 금정구 수림로49번길 42,129.0868343,35.23808298
커피앤코이,커피 전문점,부곡동,부산광역시 금정구 부곡동 224-54,부산광역시 금정구 부곡온천천로 140,129.088623,35.23844862
프루쉬부산대역점,기타 비알코올 음료점업,부곡동,부산광역시 금정구 부곡동 981,부산광역시 금정구 중앙대로1629번길 16,129.0897132,35.23085115
심심푸리,기타 비알코올 음료점업,장전동,부산광역시 금정구 장전동 643-117,부산광역시 금정구 장전온천천로 51,129.0888241,35.22958687
티티카카,커피 전문점,명륜동,부산광역시 동래구 명륜동 297-1,부산광역시 동래구 명륜로138번길 31,129.0835962,35.20681485
에라완 금정점,커피 전문점,장전동,부산광역시 금정구 장전동 96-1,부산광역시 금정구 금강로391번길 5,129.0863025,35.24304846
가비방,커피 전문점,장전동,부산광역시 금정구 장전동 393-7,부산광역시 금정구 장전온천천로89번길 5,129.0888012,35.23297558
전통찻집지우,기타 비알코올 음료점업,온천동,부산광역시 동래구 온천동 616-7,부산광역시 동래구 충렬대로126번길 47,129.0735095,35.20393316
김욱진커피로스터즈,커피 전문점,부곡동,부산광역시 금정구 부곡동 286-15,부산광역시 금정구 동부곡로9번길 56,129.0933561,35.22815683
사시절,커피 전문점,장전동,부산광역시 금정구 장전동 293-155,부산광역시 금정구 장전로12번길 28,129.0880267,35.22889774
카페이음,커피 전문점,부곡동,부산광역시 금정구 부곡동 720-6,부산광역시 금정구 동현로 60,129.0947487,35.22251859
쉐누,커피 전문점,온천동,부산광역시 동래구 온천동 302-18,부산광역시 동래구 차밭골로 44,129.0773409,35.21770916
글로벌그린,커피 전문점,온천동,부산광역시 동래구 온천동 473-11,부산광역시 동래구 온천장로 3,129.0786833,35.21264867
슈룹,커피 전문점,명륜동,부산광역시 동래구 명륜동 691-9,부산광역시 동래구 명륜로187번길 40-5,129.080434,35.21111367
이노비젼,커피 전문점,온천동,부산광역시 동래구 온천동 750-88,부산광역시 동래구 중앙대로1367번길 44-18,129.0760301,35.2106486
더웨이닝커피,비주거용 건물 임대업,구서동,부산광역시 금정구 구서동 1070,부산광역시 금정구 금샘로245번길 11,129.0846449,35.24480723
팜앤커피 팜&커피,커피 전문점,구서동,부산광역시 금정구 구서동 463-26,부산광역시 금정구 금강로380번길 42,129.0880836,35.24354039
오라,커피 전문점,온천동,부산광역시 동래구 온천동 192-14,부산광역시 동래구 금강로 92,129.0788293,35.21707983
노스커피장전점,커피 전문점,장전동,부산광역시 금정구 장전동 146-5,부산광역시 금정구 수림로85번길 53,129.0831956,35.23753291
어벤더치 부산대정문점,커피 전문점,장전동,부산광역시 금정구 장전동 402-3,부산광역시 금정구 부산대학로64번길 6,129.084411,35.23180771
카페일쁘로푸모,커피 전문점,장전동,부산광역시 금정구 장전동 409-30,부산광역시 금정구 부산대학로64번길 24,129.0846564,35.23281277
카페이안에,커피 전문점,구서동,부산광역시 금정구 구서동 1032-3,부산광역시 금정구 금샘로 361,129.0844118,35.25543576
컴포즈 동래교차로점,커피 전문점,온천동,부산광역시 동래구 온천동 1440-1,부산광역시 동래구 충렬대로 160,129.0773854,35.20437135
베러먼데이 장전역점,커피 전문점,장전동,부산광역시 금정구 장전동 222-1,부산광역시 금정구 금강로 336,129.0866531,35.23786983
대동커피공장,커피 전문점,장전동,부산광역시 금정구 장전동 386-16,부산광역시 금정구 부산대학로64번길 75,129.0851687,35.23480449
카페Ri카페리,커피 전문점,명륜동,부산광역시 동래구 명륜동 644-10,부산광역시 동래구 동래로79번길 11,129.0814633,35.2088521
카페좋은날풍경,커피 전문점,구서동,부산광역시 금정구 구서동 159-3,부산광역시 금정구 두실로 19,129.0891889,35.26049887
앙꼬빈,커피 전문점,부곡동,부산광역시 금정구 부곡동 896-19,부산광역시 금정구 오시게로12번길 10,129.0864231,35.21859824
카페호밀,커피 전문점,장전동,부산광역시 금정구 장전동 503-6,부산광역시 금정구 금샘로 34,129.0772497,35.22877685
컴포즈커피 동래롯데점,커피 전문점,온천동,부산광역시 동래구 온천동 707-1,부산광역시 동래구 중앙대로1367번길 25,129.0764854,35.2095594
텐퍼센트 동래래미안점,커피 전문점,온천동,부산광역시 동래구 온천동 1853,부산광역시 동래구 충렬대로107번길 65,129.067458,35.21208399
영인가배,커피 전문점,장전동,부산광역시 금정구 장전동 646-18,부산광역시 금정구 식물원로 3,129.0869304,35.22340163
하이오커피 장전역점,커피 전문점,부곡동,부산광역시 금정구 부곡동 224-59,부산광역시 금정구 중앙대로1719번길 62,129.0887841,35.23787812
카페 커피엔스타,커피 전문점,장전동,부산광역시 금정구 장전동 302-9,부산광역시 금정구 금정로60번길 24,129.0874821,35.2295019
할리스커피금강식물원점;디자인WK,커피 전문점,장전동,부산광역시 금정구 장전동 521-68,부산광역시 금정구 금샘로 22,129.0779966,35.22791694
뷰,커피 전문점,구서동,부산광역시 금정구 구서동 246-26,부산광역시 금정구 중앙대로1873번길 17,129.090247,35.25164938
