이름,지번주소,도로명주소,요일,여는시간,닫는시간,라스트오더,휴무여부,비고,Column1,_1,_2
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,0,,,,,,,,
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,1,,,,,,,,
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,2,,,,,,,,
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,3,,,,,,,,
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,4,,,,,,,,
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,5,,,,,,,,
13月:리쳄버,부산광역시 금정구 구서동 472-2,부산광역시 금정구 수림로66번길 91,6,,,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,0,,,,TRUE,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,1,8:00,16:00,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,2,8:00,16:00,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,3,8:00,16:00,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,4,8:00,16:00,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,5,8:00,16:00,,,,,,
22그램,부산광역시 금정구 장전동 401-1,부산광역시 금정구 금강로 271-11,6,,,,TRUE,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,0,,,,TRUE,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,1,10:00,20:00,,,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,2,10:00,20:00,,,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,3,10:00,20:00,,,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,4,10:00,20:00,,,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,5,10:00,20:00,,,,,,
가배차 명륜점,부산광역시 동래구 명륜동 700-130,부산광역시 동래구 동래로57번길 44,6,10:00,20:00,,,,,,
가배헌,부산광역시 금정구 구서동 1012-5,부산광역시 금정구 금샘로 423,0,11:00,20:00,,,,,,
가배헌,부산광역시 금정구 구서동 1012-5,부산광역시 금정구 금샘로 423,1,,,,TRUE,,,,
가배헌,부산광역시 금정구 구서동 1012-5,부산광역시 금정구 금샘로 423,2,11:00,20:00,,,,,,
가배헌,부산광역시 금정구 구서동 1012-5,부산광역시 금정구 금샘로 423,3,11:00,20:00,,,,,,
