이름,지번주소,도로명주소,요일,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,휴무여부,비고
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,0,,,,,,,
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,1,,,,,,,
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,2,,,,,,,
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,3,,,,,,,
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,4,,,,,,,
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,5,,,,,,,
051커피 망미점,부산광역시 수영구 망미동 413-9,부산광역시 수영구 과정로 54,6,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,0,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,1,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,2,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,3,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,4,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,5,,,,,,,
051커피 협성휴포레점,부산광역시 강서구 명지동 3502-2,부산광역시 강서구 명지국제12로 3-7,6,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,0,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,1,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,2,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,3,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,4,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,5,,,,,,,
0을담다,부산광역시 사상구 학장동 490-4,부산광역시 사상구 학감대로134번길 20-8,6,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,0,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,1,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,2,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,3,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,4,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,5,,,,,,,
116번가,부산광역시 연제구 연산동 1499-34,부산광역시 연제구 거제천로 116,6,,,,,,,
11월4일,부산광역시 남구 용호동 498-1,부산광역시 남구 동명로169번길 8,0,,,,,,,
11월4일,부산광역시 남구 용호동 498-1,부산광역시 남구 동명로169번길 8,1,,,,,,,
