이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
민진로스팅,카페,커피 전문점,부산광역시 연제구 거제동 1-7,대승아이티빌딩,부산광역시 연제구 거제대로 296,1,,129.0789179,35.19213441,,,,,,
신바리스타신Barista,카페,커피 전문점,부산광역시 기장군 일광읍 삼성리 773,이편한세상일광,부산광역시 기장군 일광읍 해빛2로 21,,,129.2261848,35.26905753,,,,,,
어바웃타임,카페,기타 비알코올 음료점업,부산광역시 부산진구 전포동 313-82,,부산광역시 부산진구 전포대로210번길 24-9,2,,129.0668603,35.15512302,,,,,,
이디야 홈플러스서부산점,카페,커피 전문점,부산광역시 사상구 괘법동 529-1,,부산광역시 사상구 광장로 7,1,,128.9777212,35.16433455,,,,,,
카페캔버스,카페,커피 전문점,부산광역시 사하구 하단동 900-1,,부산광역시 사하구 동매로15번길 22,1,,128.9602039,35.10474471,,,,,,
커피스토어 시청점,카페,커피 전문점,부산광역시 연제구 연산동 1361-13,,부산광역시 연제구 중앙대로1043번길 24,1,,129.0765973,35.1816127,,,,,,
까페숲,카페,커피 전문점,부산광역시 금정구 청룡동 산 2-5,,부산광역시 금정구 범어사로 259,,,129.0729579,35.28235155,,,,,,
체리,카페,기타 비알코올 음료점업,부산광역시 부산진구 범천동 837-47,,부산광역시 부산진구 골드테마길 2-7,,,129.0602619,35.14191626,,,,,,
카페심플,카페,커피 전문점,부산광역시 서구 서대신동3가 254-10,,부산광역시 서구 망양로 36-1,1,,129.0140925,35.11371096,,,,,,
더리터 동서대경남정보대점,카페,커피 전문점,부산광역시 사상구 주례동 74-22,,부산광역시 사상구 냉정로 116,1,,129.0126006,35.14935017,,,,,,
카페더흄,카페,커피 전문점,부산광역시 해운대구 우동 1514,센텀리더스마크,부산광역시 해운대구 APEC로 17,,,129.1324182,35.16592666,,,,,,
알베로,카페,커피 전문점,부산광역시 동래구 안락동 470-65,,부산광역시 동래구 명안로18번길 129,2,,129.1113771,35.19759227,,,,,,
태평,카페,커피 전문점,부산광역시 서구 충무동1가 23-2,태평빌딩,부산광역시 서구 해안새벽시장길 18,,,129.0251693,35.09553888,,,,,,
헤이유,카페,커피 전문점,부산광역시 수영구 광안동 171-39,,부산광역시 수영구 수영로554번가길 26,1,,129.1146706,35.15353167,,,,,,
투썸플레이스 정관점,카페,커피 전문점,부산광역시 기장군 정관읍 매학리 714-14,,부산광역시 기장군 정관읍 정관8로 14,1,,129.1774682,35.32289441,,,,,,
동백제니스상가B107,카페,커피 전문점,부산광역시 해운대구 우동 1544,해운대동백두산위브더제니스,부산광역시 해운대구 해운대로 540,,,129.1507021,35.15972783,,,,,,
이나커피,카페,커피 전문점,부산광역시 사하구 다대동 1552-15,,부산광역시 사하구 다대로 690,3,,128.9660549,35.04835257,,,,,,
탱고탱고콜라텍매매점,카페,기타 비알코올 음료점업,부산광역시 중구 남포동6가 3,신천지상가,부산광역시 중구 자갈치로 33,,,129.0278162,35.09704464,,,,,,
카페당리,카페,커피 전문점,부산광역시 강서구 대저1동 319-11,일부호,부산광역시 강서구 대저중앙로 373,1,,128.9878311,35.22076257,,,,,,
초오록,카페,커피 전문점,부산광역시 기장군 일광읍 화전리 541-2,,부산광역시 기장군 일광읍 화용길 103-17,1,,129.2215253,35.28270499,,,,,,
MW커피로스터즈,카페,커피 전문점,부산광역시 기장군 정관읍 용수리 1329-4,신우빌딩,부산광역시 기장군 정관읍 정관로 501-13,,,129.171476,35.32577767,,,,,,
모라커피숍,카페,커피 전문점,부산광역시 사상구 모라동 1046,,부산광역시 사상구 사상로 491,,,128.9878215,35.18839272,,,,,,
하삼동커피 덕포점,카페,커피 전문점,부산광역시 사상구 덕포동 783,,부산광역시 사상구 덕상로 11,,,128.9888202,35.17261481,,,,,,
