이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
합창노래연습장,노래 연습장 운영업,구서1동,부산광역시 금정구 구서동 415-33,부산광역시 금정구 구서로 3,129.0906855,35.24647825
롯데당구클럽,당구장 운영업,구서1동,부산광역시 금정구 구서동 414-3,부산광역시 금정구 구서로 11,129.0896337,35.24658653
카니발노래연습장,노래 연습장 운영업,온천3동,부산광역시 동래구 온천동 1468-12,부산광역시 동래구 충렬대로108번길 102,129.0737186,35.2022264
프로방스노래연습장,노래 연습장 운영업,구서1동,부산광역시 금정구 구서동 446-6,부산광역시 금정구 수림로50번길 122,129.0898045,35.24468217
나무콘텐츠,그 외 기타 분류 안된 오락관련 서비스업,장전2동,부산광역시 금정구 장전동 308-2,부산광역시 금정구 금정로68번길 12-5,129.087287,35.23046048
스파골프랜드,골프 연습장 운영업,온천1동,부산광역시 동래구 온천동 165-2,부산광역시 동래구 금강공원로 10-1,129.08351,35.21890977
스튜디오마이핏 트랙맨골프,그 외 기타 스포츠시설 운영업,구서2동,부산광역시 금정구 구서동 1026-13,부산광역시 금정구 금샘로 369,129.0843284,35.25604096
라라코인노래연습장,노래 연습장 운영업,장전2동,부산광역시 금정구 장전동 643-117,부산광역시 금정구 장전온천천로 51,129.0888241,35.22958687
오페라노래연습장,노래 연습장 운영업,구서2동,부산광역시 금정구 구서동 159-3,부산광역시 금정구 두실로 19,129.0891889,35.26049887
캐롬당구장,당구장 운영업,온천1동,부산광역시 동래구 온천동 140-52,부산광역시 동래구 금강공원로26번길 34,129.0814671,35.22061205
깐느,노래 연습장 운영업,부곡1동,부산광역시 금정구 부곡동 305-3,부산광역시 금정구 부곡로 106-1,129.0918784,35.22535279
영,노래 연습장 운영업,부곡3동,부산광역시 금정구 부곡동 59-2,부산광역시 금정구 무학송로 102,129.0935779,35.24020131
위드짐,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 528-4,부산광역시 동래구 충렬대로 180,129.079539,35.20357739
오렌지노래연습장,노래 연습장 운영업,온천3동,부산광역시 동래구 온천동 1425-16,부산광역시 동래구 미남로132번길 13,129.0703791,35.20604138
노래에반하다,노래 연습장 운영업,장전1동,부산광역시 금정구 장전동 219-4,부산광역시 금정구 금강로 338,129.0866582,35.238068
돈돈노래연습장,노래 연습장 운영업,부곡4동,부산광역시 금정구 부곡동 396-1,부산광역시 금정구 부곡로 32-8,129.088265,35.21934146
제이시빌리어드카페,당구장 운영업,장전1동,부산광역시 금정구 장전동 95,부산광역시 금정구 금강로 379,129.0862133,35.24213984
부산대1등점,복권 발행 및 판매업,장전2동,부산광역시 금정구 장전동 316-3,부산광역시 금정구 금정로 60,129.0866261,35.22995822
