이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
1등드림,부산광역시 동래구 온천동 1459-21,0,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,1,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,2,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,3,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,4,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,5,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,6,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,0,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,1,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,2,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,3,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,4,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,5,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,6,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,0,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,1,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,2,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,3,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,4,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,5,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,6,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,0,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,1,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,2,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,3,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,4,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,5,,,,,,,
B&M척추운동센터,부산광역시 동래구 온천동 503-12,6,,,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,0,9:00,18:00,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,1,6:20,23:30,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,2,6:20,23:30,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,3,6:20,23:30,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,4,6:20,23:30,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,5,6:20,23:30,,,,,
DY휘트니스,부산광역시 금정구 부곡동 225-36,6,9:00,18:00,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,0,,,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,1,,,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,2,,,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,3,,,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,4,,,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,5,,,,,,,
ESPN당구클럽,부산광역시 금정구 구서동 415-2,6,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,0,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,1,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,2,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,3,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,4,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,5,,,,,,,
JJ스크린 골프연습장,부산광역시 금정구 구서동 420-2,6,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,0,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,1,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,2,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,3,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,4,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,5,,,,,,,
JnJ빌리어드카페,부산광역시 금정구 부곡동 225-36,6,,,,,,,
JSM멀티짐,부산광역시 동래구 온천동 871-95,0,,,,,,,
JSM멀티짐,부산광역시 동래구 온천동 871-95,1,,,,,,,
