이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
051짐,부산광역시 남구 대연동 325-6,0,,,,,,,
051짐,부산광역시 남구 대연동 325-6,1,,,,,,,
051짐,부산광역시 남구 대연동 325-6,2,,,,,,,
051짐,부산광역시 남구 대연동 325-6,3,,,,,,,
051짐,부산광역시 남구 대연동 325-6,4,,,,,,,
051짐,부산광역시 남구 대연동 325-6,5,,,,,,,
051짐,부산광역시 남구 대연동 325-6,6,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,0,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,1,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,2,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,3,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,4,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,5,,,,,,,
100스마일점,부산광역시 해운대구 송정동 311-3,6,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,0,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,1,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,2,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,3,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,4,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,5,,,,,,,
119실내운전면허드론,부산광역시 부산진구 부전동 156-47,6,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,0,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,1,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,2,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,3,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,4,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,5,,,,,,,
123노래연습장,부산광역시 영도구 청학동 307-92,6,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,0,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,1,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,2,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,3,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,4,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,5,,,,,,,
1985노래연습장,부산광역시 연제구 연산동 590-106,6,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,0,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,1,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,2,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,3,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,4,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,5,,,,,,,
19큐,부산광역시 동래구 사직동 78-9,6,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,0,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,1,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,2,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,3,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,4,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,5,,,,,,,
1등드림,부산광역시 동래구 온천동 1459-21,6,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,0,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,1,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,2,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,3,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,4,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,5,,,,,,,
1등드림편의점,부산광역시 북구 금곡동 1114-5,6,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,0,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,1,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,2,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,3,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,4,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,5,,,,,,,
1등복권명당,부산광역시 수영구 망미동 444-1,6,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,0,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,1,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,2,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,3,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,4,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,5,,,,,,,
1등초읍,부산광역시 부산진구 초읍동 291-19,6,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,0,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,1,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,2,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,3,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,4,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,5,,,,,,,
1박2일노래연습장,부산광역시 해운대구 좌동 1451-1,6,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,0,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,1,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,2,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,3,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,4,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,5,,,,,,,
1박2일당구클럽,부산광역시 해운대구 재송동 1130-1,6,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,0,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,1,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,2,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,3,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,4,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,5,,,,,,,
1번가노래연습장,부산광역시 동래구 명륜동 553-8,6,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,0,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,1,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,2,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,3,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,4,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,5,,,,,,,
21세기노래연습장,부산광역시 금정구 장전동 222-2,6,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,0,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,1,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,2,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,3,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,4,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,5,,,,,,,
21세기노래연습장,부산광역시 기장군 기장읍 동부리 163-2,6,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,0,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,1,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,2,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,3,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,4,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,5,,,,,,,
21세기노래연습장,부산광역시 사상구 모라동 1356-8,6,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,0,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,1,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,2,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,3,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,4,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,5,,,,,,,
24시노래연습장,부산광역시 동구 수정동 1-61,6,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,0,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,1,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,2,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,3,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,4,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,5,,,,,,,
24시노래연습장,부산광역시 사상구 덕포동 419-28,6,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,0,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,1,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,2,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,3,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,4,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,5,,,,,,,
24시당구장,부산광역시 사하구 하단동 617-1,6,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,0,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,1,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,2,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,3,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,4,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,5,,,,,,,
24시당구클럽,부산광역시 강서구 명지동 3239-3,6,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,0,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,1,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,2,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,3,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,4,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,5,,,,,,,
24시무인당구장,부산광역시 사상구 감전동 151-24,6,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,0,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,1,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,2,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,3,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,4,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,5,,,,,,,
24시사하헬스P.T네오피트니스,부산광역시 사하구 하단동 1184-1,6,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,0,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,1,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,2,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,3,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,4,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,5,,,,,,,
24시탁구&보드게임LoveIsEverything,부산광역시 수영구 광안동 490-10,6,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,0,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,1,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,2,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,3,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,4,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,5,,,,,,,
24시트렌드핏피트니스 하단점,부산광역시 사하구 하단동 528-9,6,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,0,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,1,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,2,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,3,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,4,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,5,,,,,,,
24시헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,6,,,,,,,
24헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,0,,,,,,,
24헬스 K.S바디스타휘트니스 남산점,부산광역시 금정구 남산동 117-15,1,,,,,,,
