상가업소번호,이름,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220811582510,대박찬스복권방,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26410,금정구,26410520,서2동,2641011000,서동,2.64101E+18,1,대지,302,643,부산광역시 금정구 서동 302-643,2.64103E+11,부산광역시 금정구 서동로,130,,2.64101E+24,,부산광역시 금정구 서동로 130,609832,46326,,,,129.1008189,35.21560069
MA010120220806417084,마차도복권방,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26200,영도구,26200650,동삼1동,2620012100,동삼동,2.62001E+18,1,대지,499,8,부산광역시 영도구 동삼동 499-8,2.62003E+11,부산광역시 영도구 중리북로,43,1,2.62001E+24,,부산광역시 영도구 중리북로 43-1,606809,49118,,1,,129.0691154,35.07165456
MA010120220812481814,하나스크린골프,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26710,기장군,26710250,기장읍,2671025026,기장읍,2.67103E+18,1,대지,146,9,부산광역시 기장군 기장읍 대라리 146-9,2.67103E+11,부산광역시 기장군 기장읍 차성로,233,,2.67103E+24,,부산광역시 기장군 기장읍 차성로 233,619903,46069,,,,129.2131073,35.23827202
MA010120220811575197,합창노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2.64101E+18,1,대지,415,33,부산광역시 금정구 구서동 415-33,2.64103E+11,부산광역시 금정구 구서로,3,,2.64101E+24,,부산광역시 금정구 구서로 3,609800,46243,,,,129.0906855,35.24647825
MA010120220811438586,쇼노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2.62901E+18,1,대지,39,28,부산광역시 남구 대연동 39-28,2.62904E+11,부산광역시 남구 수영로346번길,12,,2.62901E+24,태림빌딩,부산광역시 남구 수영로346번길 12,608804,48509,,3,,129.1035913,35.13829684
MA010120220814288813,리본휘트니스,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500660,남천1동,2650010500,남천동,2.65001E+18,1,대지,323,,부산광역시 수영구 남천동 323,2.65004E+11,부산광역시 수영구 황령대로473번길,15,,2.65001E+24,남천엑슬루타워,부산광역시 수영구 황령대로473번길 15,613816,48312,,1,,129.1064857,35.1399317
MA010120220804928531,바이탈휘트니스,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290710,문현4동,2629010900,문현동,2.62901E+18,1,대지,366,18,부산광역시 남구 문현동 366-18,2.62903E+11,부산광역시 남구 수영로,12,,2.62901E+24,세종그랑시아,부산광역시 남구 수영로 12,608856,48456,,1,,129.0691241,35.13619601
MA010120220810531922,리핏1:1바디스쿨,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26380,사하구,26380601,다대1동,2638010600,다대동,2.63801E+18,1,대지,910,,부산광역시 사하구 다대동 910,2.63803E+11,부산광역시 사하구 다대로,547,,2.63801E+24,,부산광역시 사하구 다대로 547,604825,49524,,7,,128.9713895,35.05737702
MA010120220812524176,보드게임카페레드버튼 경성대,R1,예술·스포츠,R104,유원지·오락,R10405,기타 오락장,R91229,기타 오락장 운영업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2.62901E+18,1,대지,68,1,부산광역시 남구 대연동 68-1,2.62903E+11,부산광역시 남구 용소로,8,,2.62901E+24,,부산광역시 남구 용소로 8,608805,48498,,3,,129.1002211,35.13649893
MA010120220810641349,녹원실내 골프연습장,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26170,동구,26170530,초량3동,2617010100,초량동,2.61701E+18,1,대지,1161,9,부산광역시 동구 초량동 1161-9,2.61704E+11,부산광역시 동구 중앙대로286번길,9,,2.61701E+24,녹원빌딩,부산광역시 동구 중앙대로286번길 9,601837,48730,,2,,129.0446964,35.12183163
MA010120220803342592,씨엑스피골프아카데미,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26350,해운대구,26350552,좌2동,2635010700,좌동,2.63501E+18,1,대지,1481,2,부산광역시 해운대구 좌동 1481-2,2.63504E+11,부산광역시 해운대구 세실로27번길,21,1,2.63501E+24,,부산광역시 해운대구 세실로27번길 21-1,612842,48111,,5,,129.1778815,35.16874908
MA010120220805807855,보스노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2.62901E+18,1,대지,40,11,부산광역시 남구 대연동 40-11,2.62904E+11,부산광역시 남구 수영로334번길,19,,2.62901E+24,,부산광역시 남구 수영로334번길 19,608804,48511,,,,129.1028187,35.13768845
MA010120220810722064,포시즌노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26320,북구,26320560,덕천2동,2632010400,덕천동,2.63201E+18,1,대지,402,26,부산광역시 북구 덕천동 402-26,2.63204E+11,부산광역시 북구 덕천1길,42,,2.63201E+24,,부산광역시 북구 덕천1길 42,616820,46576,,,,129.0078602,35.21000544
MA010120220811945087,윤기봉헬스아카데미,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290560,대연6동,2629010600,대연동,2.62901E+18,1,대지,1767,17,부산광역시 남구 대연동 1767-17,2.62903E+11,부산광역시 남구 수영로,163,,2.62901E+24,,부산광역시 남구 수영로 163,608817,48453,,7,,129.0844286,35.13495137
MA010120220811585869,노다지복권방,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26710,기장군,26710250,기장읍,2671025026,기장읍,2.67103E+18,1,대지,73,3,부산광역시 기장군 기장읍 대라리 73-3,2.67104E+11,부산광역시 기장군 기장읍 차성로288번길,30,,2.67103E+24,,부산광역시 기장군 기장읍 차성로288번길 30,619903,46066,,,,129.2152424,35.24287371
MA010120220804684315,롯데당구클럽,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2.64101E+18,1,대지,414,3,부산광역시 금정구 구서동 414-3,2.64103E+11,부산광역시 금정구 구서로,11,,2.64101E+24,,부산광역시 금정구 구서로 11,609800,46243,,3,,129.0896337,35.24658653
MA010120220806702171,고고요트,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,R91239,기타 수상오락 서비스업,26,부산광역시,26350,해운대구,26350525,우3동,2635010500,우동,2.63501E+18,1,대지,1393,,부산광역시 해운대구 우동 1393,2.63503E+11,부산광역시 해운대구 해운대해변로,52,,2.63501E+24,수영만요트경기장,부산광역시 해운대구 해운대해변로 52,612797,48090,,,,129.1380786,35.1624926
MA010120220814389066,조형준탁구클럽,R1,예술·스포츠,R103,스포츠 서비스,R10313,탁구장,R91139,그 외 기타 스포츠시설 운영업,26,부산광역시,26380,사하구,26380562,하단2동,2638010300,하단동,2.63801E+18,1,대지,1157,7,부산광역시 사하구 하단동 1157-7,2.63803E+11,부산광역시 사하구 하신번영로,417,,2.63801E+24,,부산광역시 사하구 하신번영로 417,604851,49301,,6,,128.9604582,35.1181052
MA010120220812491925,에스지스크린골프(두영골프),R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26320,북구,26320521,구포3동,2632010500,구포동,2.63201E+18,1,대지,1218,15,부산광역시 북구 구포동 1218-15,2.63203E+11,부산광역시 북구 시랑로,76,,2.63201E+24,,부산광역시 북구 시랑로 76,616805,46631,,3,,129.0053845,35.19907929
MA010120220810692609,황금복권방,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2.65301E+18,1,대지,557,6,부산광역시 사상구 괘법동 557-6,2.65303E+11,부산광역시 사상구 새벽로,202,,2.65301E+24,,부산광역시 사상구 새벽로 202,617809,46973,,,,128.9841142,35.15916537
MA010120220814240605,7080노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26260,동래구,26260750,안락2동,2626010200,안락동,2.62601E+18,1,대지,472,3,부산광역시 동래구 안락동 472-3,2.62604E+11,부산광역시 동래구 충렬대로459번길,40,,2.62601E+24,,부산광역시 동래구 충렬대로459번길 40,607826,47794,,4,,129.11026,35.19642224
MA010120220811582831,최신노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26710,기장군,26710250,기장읍,2671025026,기장읍,2.67103E+18,1,대지,81,26,부산광역시 기장군 기장읍 대라리 81-26,2.67104E+11,부산광역시 기장군 기장읍 차성남로65번길,10,,2.67103E+24,,부산광역시 기장군 기장읍 차성남로65번길 10,619903,46066,,,,129.2156502,35.24211831
MA010120220811389463,캐릭터궁전,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,26,부산광역시,26500,수영구,26500750,망미2동,2650010100,망미동,2.65001E+18,1,대지,412,12,부산광역시 수영구 망미동 412-12,2.65003E+11,부산광역시 수영구 과정로,58,,2.65001E+24,,부산광역시 수영구 과정로 58,613821,48218,,,,129.1075598,35.17646377
MA010120220805523583,강남뮤비존,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26470,연제구,26470630,거제3동,2647010100,거제동,2.64701E+18,1,대지,41,13,부산광역시 연제구 거제동 41-13,2.64703E+11,부산광역시 연제구 거제천로,105,1,2.64701E+24,,부산광역시 연제구 거제천로 105-1,611801,47543,,2,,129.0740568,35.18357571
