이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
바담코다리 본점,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1005-1,부산광역시 금정구 금샘로 453,129.0846313,35.26357832
흑산도,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1005-2,부산광역시 금정구 금샘로 451,129.0845578,35.2632822
경희궁,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1005-8,부산광역시 금정구 금샘로 441,129.0841399,35.26240629
손수제비국수,한식 면 요리 전문점,구서2동,부산광역시 금정구 구서동 1007-1,부산광역시 금정구 두실로 61,129.0857934,35.26262109
백년백세삼계탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1008-31,부산광역시 금정구 두실로 45,129.086445,35.2614654
진심돈까스김밥,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1009-1,부산광역시 금정구 두실로 43,129.0865502,35.26128336
금정시골추어탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1012-2,부산광역시 금정구 금샘로 431,129.084085,35.26155115
카판노Capanno,서양식 음식점업,구서2동,부산광역시 금정구 구서동 1012-3,부산광역시 금정구 금샘로 429,129.0840042,35.26139934
약수터해장국,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1012-6,부산광역시 금정구 금샘로 421,129.084147,35.2605408
국수옥수 전문점,한식 면 요리 전문점,구서2동,부산광역시 금정구 구서동 1016-1,부산광역시 금정구 두실로45번길 25,129.0860549,35.26039076
서라벌,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 1018-15,부산광역시 금정구 두실로37번길 42,129.0867149,35.25913579
다계촌,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1018-18,부산광역시 금정구 두실로37번길 32,129.0867021,35.25949647
진짜배기 구서점,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 1018-20,부산광역시 금정구 금강로565번길 26,129.0862969,35.25825988
리틀희,중식 음식점업,구서2동,부산광역시 금정구 구서동 1022-10,부산광역시 금정구 금샘로 397-1,129.0838848,35.25845466
금샘마루,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1022-14,부산광역시 금정구 금샘로 393-2,129.08413,35.25816207
유미,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1022-14,부산광역시 금정구 금샘로 393-2,129.08413,35.25816207
도로시.C,서양식 음식점업,구서2동,부산광역시 금정구 구서동 1022-7,부산광역시 금정구 금샘로 387-1,129.0844592,35.25771483
장원각,중식 음식점업,구서2동,부산광역시 금정구 구서동 1023-18,부산광역시 금정구 금강로565번길 63,129.0845584,35.25858723
열두달키친,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1023-28,부산광역시 금정구 금샘로386번길 9,129.08524,35.25774643
이조면옥,한식 면 요리 전문점,구서2동,부산광역시 금정구 구서동 1023-4,부산광역시 금정구 금샘로 394,129.0844938,35.25820987
나무랑닭이랑,치킨 전문점,구서2동,부산광역시 금정구 구서동 1023-8,부산광역시 금정구 금샘로 388-1,129.0847699,35.25783564
도이,중식 음식점업,구서2동,부산광역시 금정구 구서동 1023-9,부산광역시 금정구 금샘로 388,129.0848776,35.25775268
교촌치킨 구서1호점,치킨 전문점,구서2동,부산광역시 금정구 구서동 1024-1,부산광역시 금정구 금강로565번길 25,129.0862474,35.25804446
이귀남찜닭,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1024-1,부산광역시 금정구 금강로565번길 25,129.0862474,35.25804446
이비가짬뽕 구서점,중식 음식점업,구서2동,부산광역시 금정구 구서동 1026-10,부산광역시 금정구 금샘로 373,129.0842951,35.25645606
어플러스,일식 음식점업,구서2동,부산광역시 금정구 구서동 1026-13,부산광역시 금정구 금샘로 369,129.0843284,35.25604096
가화숯불돼지갈비,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 1026-15,부산광역시 금정구 금샘로 367,129.0843345,35.25585161
일디오보,서양식 음식점업,구서2동,부산광역시 금정구 구서동 1026-2,부산광역시 금정구 금샘로 383,129.0844287,35.25738194
박달집,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 1026-8,부산광역시 금정구 금샘로 377-1,129.0842578,35.25671803
