이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,0,11:00,21:00,,,,,,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,1,11:00,21:00,,,,,,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,2,11:00,21:00,,,,,,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,3,11:00,21:00,,,,,,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,4,11:00,21:00,,,,,,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,5,11:00,21:00,,,,,,,,,,,
바담코다리 본점,부산광역시 금정구 구서동 1005-1,6,11:00,21:00,,,,,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,0,,,,,,TRUE,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,1,11:30,22:30,14:30,15:00,,,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,2,11:30,22:30,14:30,15:00,,,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,3,11:30,22:30,14:30,15:00,,,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,4,11:30,22:30,14:30,15:00,,,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,5,11:30,22:30,14:30,15:00,,,,,,,,,
흑산도,부산광역시 금정구 구서동 1005-2,6,11:30,22:30,14:30,15:00,,,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,0,,,,,,TRUE,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,1,11:30,22:00,,,,,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,2,11:30,22:00,,,,,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,3,11:30,22:00,,,,,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,4,11:30,22:00,,,,,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,5,11:30,22:00,,,,,,,,,,,
경희궁,부산광역시 금정구 구서동 1005-8,6,,,,,,TRUE,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,0,10:30,19:00,,,,,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,1,,,,,,TRUE,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,2,10:30,19:00,,,,,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,3,10:30,19:00,,,,,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,4,10:30,19:00,,,,,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,5,10:30,19:00,,,,,,,,,,,
손수제비국수,부산광역시 금정구 구서동 1007-1,6,10:30,19:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,0,11:00,21:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,1,11:00,21:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,2,11:00,21:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,3,11:00,21:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,4,11:00,21:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,5,11:00,21:00,,,,,,,,,,,
백년백세삼계탕,부산광역시 금정구 구서동 1008-31,6,11:00,21:00,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,0,,,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,1,,,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,2,,,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,3,,,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,4,,,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,5,,,,,,,,,,,,,
진심돈까스김밥,부산광역시 금정구 구서동 1009-1,6,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,0,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,1,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,2,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,3,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,4,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,5,,,,,,,,,,,,,
금정시골추어탕,부산광역시 금정구 구서동 1012-2,6,,,,,,,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,0,10:00,17:00,,,,,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,1,,,,,,TRUE,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,2,10:00,16:00,,,,,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,3,10:00,16:00,,,,,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,4,10:00,16:00,,,,,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,5,10:00,16:00,,,,,,,,,,,
카판노Capanno,부산광역시 금정구 구서동 1012-3,6,10:00,17:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,0,7:00,22:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,1,12:00,0:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,2,12:00,0:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,3,12:00,0:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,4,12:00,0:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,5,12:00,0:00,,,,,,,,,,,
약수터해장국,부산광역시 금정구 구서동 1012-6,6,12:00,0:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,0,11:00,21:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,1,11:00,21:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,2,11:00,21:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,3,11:00,21:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,4,11:00,21:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,5,11:00,21:00,,,,,,,,,,,
국수옥수 전문점,부산광역시 금정구 구서동 1016-1,6,11:00,21:00,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,0,,,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,1,,,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,2,,,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,3,,,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,4,,,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,5,,,,,,,,,,,,,
서라벌,부산광역시 금정구 구서동 1018-15,6,,,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,0,11:00,2:00,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,1,11:00,2:00,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,2,11:00,2:00,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,3,11:00,2:00,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,4,11:00,2:00,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,5,11:00,2:00,,,,,,,,,,,
다계촌,부산광역시 금정구 구서동 1018-18,6,11:00,2:00,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,0,,,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,1,,,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,2,,,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,3,,,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,4,,,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,5,,,,,,,,,,,,,
진짜배기 구서점,부산광역시 금정구 구서동 1018-20,6,,,,,,,,,,,,,
리틀희,부산광역시 금정구 구서동 1022-10,0,11:30,21:00,,,20:00,,,,,,,,
