이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
한솥식당,부산광역시 강서구 강동동 110-14,0,,,,,,,
한솥식당,부산광역시 강서구 강동동 110-14,1,,,,,,,
한솥식당,부산광역시 강서구 강동동 110-14,2,,,,,,,
한솥식당,부산광역시 강서구 강동동 110-14,3,,,,,,,
한솥식당,부산광역시 강서구 강동동 110-14,4,,,,,,,
한솥식당,부산광역시 강서구 강동동 110-14,5,,,,,,,
한솥식당,부산광역시 강서구 강동동 110-14,6,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,0,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,1,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,2,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,3,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,4,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,5,,,,,,,
함양돼지국밥,부산광역시 강서구 강동동 110-14,6,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,0,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,1,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,2,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,3,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,4,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,5,,,,,,,
따뜻한밥집,부산광역시 강서구 강동동 112-6,6,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,0,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,1,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,2,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,3,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,4,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,5,,,,,,,
강따라물따라,부산광역시 강서구 강동동 1199-3,6,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,0,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,1,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,2,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,3,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,4,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,5,,,,,,,
오리152부산강서본점 전문점,부산광역시 강서구 강동동 1199-3,6,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,0,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,1,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,2,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,3,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,4,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,5,,,,,,,
온천가야밀면,부산광역시 강서구 강동동 1438-3,6,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,0,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,1,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,2,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,3,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,4,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,5,,,,,,,
항아리수제비,부산광역시 강서구 강동동 1456-1,6,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,0,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,1,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,2,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,3,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,4,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,5,,,,,,,
국수나라,부산광역시 강서구 강동동 1462-1,6,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,0,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,1,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,2,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,3,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,4,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,5,,,,,,,
대림추어탕,부산광역시 강서구 강동동 1463-1,6,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,0,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,1,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,2,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,3,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,4,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,5,,,,,,,
강동회센타 참가자미물회,부산광역시 강서구 강동동 1480-1,6,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,0,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,1,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,2,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,3,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,4,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,5,,,,,,,
신덕뷔페,부산광역시 강서구 강동동 1493-1,6,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,0,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,1,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,2,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,3,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,4,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,5,,,,,,,
밥이보약,부산광역시 강서구 강동동 155-5,6,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,0,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,1,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,2,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,3,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,4,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,5,,,,,,,
백복령옹심이,부산광역시 강서구 강동동 159-1,6,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,0,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,1,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,2,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,3,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,4,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,5,,,,,,,
나은이네,부산광역시 강서구 강동동 1973,6,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,0,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,1,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,2,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,3,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,4,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,5,,,,,,,
낙동강오리알,부산광역시 강서구 강동동 2063-1,6,,,,,,,
양지농원,부산광역시 강서구 강동동 2097,0,,,,,,,
양지농원,부산광역시 강서구 강동동 2097,1,,,,,,,
양지농원,부산광역시 강서구 강동동 2097,2,,,,,,,
양지농원,부산광역시 강서구 강동동 2097,3,,,,,,,
양지농원,부산광역시 강서구 강동동 2097,4,,,,,,,
양지농원,부산광역시 강서구 강동동 2097,5,,,,,,,
