상가업소번호,이름,상권업종중분류명,상권업종소분류명,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,휴무일,휴무간격,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,Column1
MA010120220803505737,함양돼지국밥,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,110,14,부산광역시 강서구 강동동 110-14,2.64E+11,부산광역시 강서구 낙동북로,80,,2.64E+24,,부산광역시 강서구 낙동북로 80,618800,46706,,,,128.9380396,35.21751492,,,,,,,,
MA010120220814075032,한솥식당,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,110,14,부산광역시 강서구 강동동 110-14,2.64E+11,부산광역시 강서구 낙동북로,80,,2.64E+24,,부산광역시 강서구 낙동북로 80,618800,46706,,,,128.9380396,35.21751492,,,,,,,,
MA010120220805186781,따뜻한밥집,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,112,6,부산광역시 강서구 강동동 112-6,2.64E+11,부산광역시 강서구 제도로,1206,,2.64E+24,,부산광역시 강서구 제도로 1206,618800,46706,,,,128.9374286,35.21721831,,,,,,,,
MA010120220810683911,강따라물따라,한식,돼지고기 구이/찜,한식 육류 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1199,3,부산광역시 강서구 강동동 1199-3,2.64E+11,부산광역시 강서구 상덕로49번길,179,28,2.64E+24,,부산광역시 강서구 상덕로49번길 179-28,618801,46711,,,,128.9094942,35.20090027,,,,,,,,
MA0101202504A0091953,오리152부산강서본점 전문점,한식,닭/오리고기 구이/찜,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1199,3,부산광역시 강서구 강동동 1199-3,2.64E+11,부산광역시 강서구 상덕로49번길,179,28,2.64E+24,,부산광역시 강서구 상덕로49번길 179-28,618801,46711,,,,128.9094942,35.20090027,,,,,,,,
MA0101202409A0229720,온천가야밀면,한식,냉면/밀면,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1438,3,부산광역시 강서구 강동동 1438-3,2.64E+11,부산광역시 강서구 제도로,967,,2.64E+24,일부,부산광역시 강서구 제도로 967,618801,46706,,1,,128.9257518,35.19800226,,,,,,,,
MA010120220812796473,항아리수제비,한식,국수/칼국수,한식 면 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1456,1,부산광역시 강서구 강동동 1456-1,2.64E+11,부산광역시 강서구 제도로,1000,,2.64E+24,,부산광역시 강서구 제도로 1000,618801,46706,,,,128.927469,35.20051626,,,,,,,,
MA010120220810006965,국수나라,한식,국수/칼국수,김밥 및 기타 간이 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1462,1,부산광역시 강서구 강동동 1462-1,2.64E+11,부산광역시 강서구 제도로,1006,,2.64E+24,일부호,부산광역시 강서구 제도로 1006,618801,46706,,1,,128.9278192,35.20093424,,,,,,,,
MA0101202502A0087404,대림추어탕,한식,국/탕/찌개류,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1463,1,부산광역시 강서구 강동동 1463-1,2.64E+11,부산광역시 강서구 제도로,1008,,2.64E+24,,부산광역시 강서구 제도로 1008,618801,46706,,,,128.9278566,35.20112289,,,,,,,,
MA010120220810232576,강동회센타 참가자미물회,한식,횟집,한식 해산물 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1480,1,부산광역시 강서구 강동동 1480-1,2.64E+11,부산광역시 강서구 제도로,1004,,2.64E+24,,부산광역시 강서구 제도로 1004,618801,46706,,,,128.9278692,35.20072617,,,,,,,,
MA010120220809976297,신덕뷔페,구내식당·뷔페,뷔페,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1493,1,부산광역시 강서구 강동동 1493-1,2.64E+11,부산광역시 강서구 제도로,984,,2.64E+24,,부산광역시 강서구 제도로 984,618801,46706,,,,128.9266804,35.19920408,,,,,,,,
MA010120220813174265,밥이보약,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,155,5,부산광역시 강서구 강동동 155-5,2.64E+11,부산광역시 강서구 낙동북로,57,1,2.64E+24,,부산광역시 강서구 낙동북로 57-1,618800,46705,,1,,128.9360903,35.21866358,,,,,,,,
MA0106202511A2030580,백복령옹심이,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,159,1,부산광역시 강서구 강동동 159-1,2.64E+11,부산광역시 강서구 낙동북로63번길,21,,2.64E+24,,부산광역시 강서구 낙동북로63번길 21,618800,46705,,,,128.9361171,35.21933003,,,,,,,,
MA010120220805478233,나은이네,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,1973,,부산광역시 강서구 강동동 1973,2.64E+11,부산광역시 강서구 상덕로97번길,93,,2.64E+24,,부산광역시 강서구 상덕로97번길 93,618801,46706,,1,,128.912725,35.19540611,,,,,,,,
MA010120220805683430,낙동강오리알,한식,닭/오리고기 구이/찜,한식 육류 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2063,1,부산광역시 강서구 강동동 2063-1,2.64E+11,부산광역시 강서구 상덕로,35,1,2.64E+24,,부산광역시 강서구 상덕로 35-1,618801,46711,,,,128.9072905,35.19258103,,,,,,,,
MA010120220811244283,양지농원,한식,돼지고기 구이/찜,한식 육류 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2097,,부산광역시 강서구 강동동 2097,2.64E+11,부산광역시 강서구 상덕로,43,,2.64E+24,,부산광역시 강서구 상덕로 43,618801,46711,,,,128.9084368,35.19231063,,,,,,,,
MA010120220810710636,칡넝쿨1,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2102,1,부산광역시 강서구 강동동 2102-1,2.64E+11,부산광역시 강서구 상덕로,52,,2.64E+24,,부산광역시 강서구 상덕로 52,618801,46711,,,,128.9090166,35.19175177,,,,,,,,
MA010120220810681677,칡넝굴2,한식,돼지고기 구이/찜,한식 육류 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2102,1,부산광역시 강서구 강동동 2102-1,2.64E+11,부산광역시 강서구 상덕로,52,,2.64E+24,,부산광역시 강서구 상덕로 52,618801,46711,,,,128.9090166,35.19175177,,,,,,,,
MA010120220810683978,논두렁손칼국수,한식,국수/칼국수,한식 면 요리 전문점,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2105,,부산광역시 강서구 강동동 2105,2.64E+11,부산광역시 강서구 상덕로,58,,2.64E+24,,부산광역시 강서구 상덕로 58,618801,46711,,,,128.9096936,35.1915969,,,,,,,,
MA010120220800455627,김해시락국밥,한식,국/탕/찌개류,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,216,5,부산광역시 강서구 강동동 216-5,2.64E+11,부산광역시 강서구 낙동북로,37,,2.64E+24,,부산광역시 강서구 낙동북로 37,618800,46705,,,,128.9340761,35.21939871,,,,,,,,
MA010120220806793003,김영옥식당,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,245,1,부산광역시 강서구 강동동 245-1,2.64E+11,부산광역시 강서구 낙동북로,33,,2.64E+24,일부,부산광역시 강서구 낙동북로 33,618800,46705,,1,,128.9335638,35.21956009,,,,,,,,
MA010120220810992948,화현기사식당,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,245,6,부산광역시 강서구 강동동 245-6,2.64E+11,부산광역시 강서구 낙동북로,30,,2.64E+24,,부산광역시 강서구 낙동북로 30,618800,46706,,,,128.9330277,35.21918115,,,,,,,,
MA010120220810728382,진영집,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,250,31,부산광역시 강서구 강동동 250-31,2.64E+11,부산광역시 강서구 낙동북로,21,,2.64E+24,,부산광역시 강서구 낙동북로 21,618800,46705,,,,128.9324948,35.22032515,,,,,,,,
MA010120220810695729,꿀꿀이뼈다귀해장국,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2526,7,부산광역시 강서구 강동동 2526-7,2.64E+11,부산광역시 강서구 득천2길,7,,2.64E+24,,부산광역시 강서구 득천2길 7,618801,46711,,,,128.9219495,35.18899679,,,,,,,,
MA010120220810716998,득천가,중식,중국집,중식 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2538,12,부산광역시 강서구 강동동 2538-12,2.64E+11,부산광역시 강서구 제도로,858,,2.64E+24,,부산광역시 강서구 제도로 858,618801,46711,,,,128.9213972,35.18885235,,,,,,,,
MA010120220807489845,한끼식당,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,255,5,부산광역시 강서구 강동동 255-5,2.64E+11,부산광역시 강서구 제도로1041번길,521,,2.64E+24,,부산광역시 강서구 제도로1041번길 521,618800,46706,,,,128.9310309,35.21832988,,,,,,,,
MA0101202412A0017642,시골밥상,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2916,1,부산광역시 강서구 강동동 2916-1,2.64E+11,부산광역시 강서구 공작길,223,,2.64E+24,,부산광역시 강서구 공작길 223,618801,46711,,,,128.9197327,35.18668888,,,,,,,,
MA010120220810520542,포구나무집,한식,백반/한정식,한식 일반 음식점업,26,부산광역시,26440,강서구,26440530,강동동,2644010300,강동동,2.64E+18,1,대지,2921,11,부산광역시 강서구 강동동 2921-11,2.64E+11,부산광역시 강서구 제도로,832,,2.64E+24,,부산광역시 강서구 제도로 832,618801,46711,,,,128.9207166,35.18652007,,,,,,,,
