이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
가마실공원,,부곡동,부산광역시 금정구 부곡동 296-2,,129.0917065,35.22804416
고당공원,,온천동,부산광역시 동래구 온천동 15-8,,129.078222,35.224059
공수물공원,,부곡동,부산광역시 금정구 부곡동 255-8,,129.092102,35.231648
구서공원,,구서동,부산광역시 금정구 구서동 1050,,129.087464,35.251219
구월공원,,부곡동,부산광역시 금정구 부곡동 956,,129.0981642,35.2234468
금강공원,,장전동,부산광역시 금정구 장전동 산 46-2,,129.0623779,35.2263915
금강공원,,온천동,부산광역시 동래구 온천동 20-1,,129.075758,35.21962513
금강공원&식물원,,온천동,부산광역시 동래구 온천동 산133,,129.07494,35.22047
금산공원,,온천동,부산광역시 동래구 온천동 296-17,,129.076694,35.218818
금정공원,,구서동,부산광역시 금정구 구서동 458-2,,129.087965,35.244967
기찰공원,,부곡동,부산광역시 금정구 부곡동 26-11,,129.0943291,35.24182299
까치공원,,장전동,부산광역시 금정구 장전동 220-2,,129.086307,35.23800895
꿈나무공원,,온천동,부산광역시 동래구 온천동 1853-13,,129.0692532,35.20990174
너울소공원,,부곡동,부산광역시 금정구 부곡동 64-31,,129.0914307,35.24198217
동래사적공원,,명륜동,부산광역시 동래구 명륜동 137-4,,129.0921895,35.211818
동래읍성,,명륜동,부산 동래구 명륜동 산48-2,,129.08997,35.20975
동래향교,,명륜동,부산광역시 동래구 명륜동 235,,129.084195,35.2077099
두실새싹공원,,구서동,부산광역시 금정구 구서동 1023-42,,129.0856979,35.257982
디오티미술관,,장전동,부산광역시 금정구 장전동 503-44,,129.076708,35.228821
미남공원,,온천동,부산광역시 동래구 온천동 1236-10,,129.066217,35.205742
부산대박물관,,장전동,부산광역시 금정구 장전동 40,,129.0838247,35.23224315
부산해양자연사박물관,,온천동,부산광역시 동래구 온천동 산13-1,,129.07591,35.22178
비석바위공원,,장전동,부산광역시 금정구 장전동 724,,129.0812262,35.22876335
산저공원,,온천동,부산광역시 동래구 온천동 1853-25,,129.072223,35.21153247
샘골공원,,구서동,부산광역시 금정구 구서동 637-1,,129.087471,35.260673
솔밭공원,,온천동,부산광역시 동래구 온천동 1020-18,,129.066977,35.211738
숲속공원,,부곡동,부산광역시 금정구 부곡동 961,,129.096175,35.21944676
숲향기공원,,온천동,부산광역시 동래구 온천동 1853-9,,129.0662569,35.21021924
아트스페이스 리,,장전동,부산광역시 금정구 장전동 503-7,,129.077379,35.228651
오륜대 순교자 성지,,부곡동,부산광역시 금정구 부곡동 1-4,,129.10143,35.24589
오륜대한국순교자박물관,,부곡동,부산광역시 금정구 부곡동 1-4,,129.1009016,35.24570172
온새미로공원,,온천동,부산광역시 동래구 온천동 1836,,129.0629303,35.20843173
온천3동공원,,온천동,부산광역시 동래구 온천동 1379-1,,129.068595,35.202827
온천공원,,온천동,부산광역시 동래구 온천동 산201-1,,129.0617177,35.20725578
온천아파트공원,,온천동,부산광역시 동래구 온천동 707,,129.074409,35.209842
온천어린이공원,,온천동,부산광역시 동래구 온천동 387-10,,129.072262,35.214377
우성공원,,구서동,부산광역시 금정구 구서동 1030-1,,129.086254,35.255578
우장춘 기념관,,온천동,부산광역시 동래구 온천동 850-48,,129.07202,35.213547
장전공원,,장전동,부산광역시 금정구 장전동 산 30,,129.0675686,35.23537237
하늘공원,,온천동,부산광역시 동래구 온천동 1853-28,,129.0704191,35.211947
