이름,주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
가마실공원,부산광역시 금정구 부곡동 296-2,0,0:00,24:00,,,,,
가마실공원,부산광역시 금정구 부곡동 296-2,1,0:00,24:00,,,,,
가마실공원,부산광역시 금정구 부곡동 296-2,2,0:00,24:00,,,,,
가마실공원,부산광역시 금정구 부곡동 296-2,3,0:00,24:00,,,,,
가마실공원,부산광역시 금정구 부곡동 296-2,4,0:00,24:00,,,,,
가마실공원,부산광역시 금정구 부곡동 296-2,5,0:00,24:00,,,,,
가마실공원,부산광역시 금정구 부곡동 296-2,6,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,0,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,1,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,2,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,3,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,4,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,5,0:00,24:00,,,,,
고당공원,부산광역시 동래구 온천동 15-8,6,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,0,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,1,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,2,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,3,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,4,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,5,0:00,24:00,,,,,
공수물공원,부산광역시 금정구 부곡동 255-8,6,0:00,24:00,,,,,
구서공원,부산광역시 금정구 구서동 1050,0,0:00,24:00,,,,,
구서공원,부산광역시 금정구 구서동 1050,1,0:00,24:00,,,,,
구서공원,부산광역시 금정구 구서동 1050,2,0:00,24:00,,,,,
