이름,주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,0,,,,,,TRUE,
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,1,,,,,,TRUE,
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,2,10:00,16:00,,,,,
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,3,10:00,16:00,,,,,
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,4,10:00,16:00,,,,,
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,5,10:00,16:00,,,,,
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,6,10:00,16:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,0,0:00,24:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,1,0:00,24:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,2,0:00,24:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,3,0:00,24:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,4,0:00,24:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,5,0:00,24:00,,,,,
1호 문화공원,부산광역시 강서구 명지동 3483-5,6,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,0,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,1,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,2,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,3,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,4,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,5,0:00,24:00,,,,,
40계단,부산광역시 중구 동광동5가 44-3,6,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,0,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,1,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,2,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,3,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,4,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,5,0:00,24:00,,,,,
920호소공원,부산광역시 해운대구 중동 1833,6,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,0,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,1,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,2,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,3,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,4,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,5,0:00,24:00,,,,,
921호소공원,부산광역시 해운대구 중동 1838,6,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,0,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,1,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,2,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,3,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,4,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,5,0:00,24:00,,,,,
922호소공원,부산광역시 해운대구 중동 1830,6,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,0,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,1,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,2,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,3,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,4,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,5,0:00,24:00,,,,,
APEC나루공원,부산광역시 해운대구 우동 1494,6,0:00,24:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,0,9:00,21:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,1,9:00,21:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,2,9:00,21:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,3,9:00,21:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,4,9:00,21:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,5,9:00,21:00,,,,,
F1963,부산광역시 수영구 망미동 475-1,6,9:00,21:00,,,,,
KF아세안문화원,부산광역시 해운대구 좌동 1427,0,10:00,19:00,,,,,
KF아세안문화원,부산광역시 해운대구 좌동 1427,1,,,,,,TRUE,
KF아세안문화원,부산광역시 해운대구 좌동 1427,2,10:00,18:00,,,,,
KF아세안문화원,부산광역시 해운대구 좌동 1427,3,10:00,18:00,,,,,
KF아세안문화원,부산광역시 해운대구 좌동 1427,4,10:00,18:00,,,,,
KF아세안문화원,부산광역시 해운대구 좌동 1427,5,10:00,18:00,,,,,
KF아세안문화원,부산광역시 해운대구 좌동 1427,6,10:00,19:00,,,,,
KT&G상상마당 부산,부산광역시 부산진구 부전동 521-1,0,0:00,24:00,,,,,
KT&G상상마당 부산,부산광역시 부산진구 부전동 521-1,1,0:00,24:00,,,,,
