이름,주소,위도,경도,상세정보
부산항 제 1부두,부산광역시 중구 중앙동 4가 15-33,35.10498,129.04028,"피란민의 아픔에서 부산의 경제 발전으로, 재건의 시작"
1934 기차 동래역,부산광역시 동래구 낙민동 112-3,35.19779,129.09004,옛 동해남부선 동래역을 리모델링해 2025년 문을 연 역사·문화 공간
1호 문화공원,부산광역시 강서구 명지동 3483-5,35.1075331,128.9220272,
40계단,부산광역시 중구 동광동5가 44-3,35.103977,129.0346,
920호소공원,부산광역시 해운대구 중동 1833,35.16017904,129.1702615,
921호소공원,부산광역시 해운대구 중동 1838,35.15994896,129.167679,
922호소공원,부산광역시 해운대구 중동 1830,35.16137251,129.1692308,
APEC나루공원,부산광역시 해운대구 우동 1494,35.16790825,129.1273173,
F1963,부산광역시 수영구 망미동 475-1,35.176933,129.11496,
KF아세안문화원,부산광역시 해운대구 좌동 1427,35.17519,129.18196,
KT&G상상마당 부산,부산광역시 부산진구 부전동 521-1,35.15431,129.05728,
KT&G상상마당 부산미술관,부산광역시 부산진구 부전동 521-1,35.154278,129.0573028,
SWITZEN PARK,부산광역시 동래구 사직동 1037,35.19896555,129.0575801,
가덕도,부산광역시 강서구 천성동 502,35.022896,128.8172,
가덕도 연대봉,부산광역시 강서구 천성동,35.026875,128.83395,
가람공원,부산광역시 강서구 지사동 1175,35.14995875,128.8202445,
가로공원(북산1주택재개발),부산광역시 동래구 칠산동 70-8,35.205784,129.0926947,
가리새공원,부산광역시 강서구 범방동 1923,35.138436,128.890437,
가리새수변공원,부산광역시 강서구 범방동 1913,35.14278145,128.8874917,
가마실공원,부산광역시 금정구 부곡동 296-2,35.22804416,129.0917065,
가야감고개공원,부산광역시 부산진구 가야동 553,35.14802443,129.0336273,
가야산책공원,부산광역시 부산진구 가야동 669-11,35.1477989,129.0274102,
갈대성공원,부산광역시 강서구 명지동 3244-1,35.083147,128.906046,
감만A어린이공원,부산광역시 남구 감만동 176-24,35.117437,129.084186,
감만B어린이공원,부산광역시 남구 감만동 225-7,35.112435,129.083668,
감만당집마루 소공원,부산광역시 남구 감만동 463-1,35.112918,129.080413,
감전야생화단지,부산광역시 사상구 감전동 873,35.142826,128.96594,
감천 문화마을 공원,부산광역시 사하구 감천동 11-113,35.0953162,129.0065519,
감천문화마을,부산광역시 사하구 감천동 1-14,35.095787,129.00926,
강변공원,부산광역시 기장군 정관읍 달산리 1245,35.32017985,129.1952393,
강변공원,부산광역시 수영구 망미동 198-1,35.178768,129.116922,
강변공원,부산광역시 연제구 연산동 2318,35.18398875,129.1135507,
강변둥지공원,부산광역시 북구 화명동 188-2,35.24215478,129.0141821,
강송정공원,부산광역시 기장군 일광면 이천리 844,35.26548722,129.2355213,
개금숲길공원,부산광역시 부산진구 개금동 56,35.1610077,129.0260603,
개나리공원,부산광역시 기장군 기장읍 청강리 295,35.23746387,129.2175711,
개나리공원,부산광역시 북구 만덕동 912-1,35.21094624,129.0273294,
개나리어린이공원,부산광역시 남구 문현동 189-22,35.138072,129.073376,
개나리어린이공원,부산광역시 부산진구 개금동 53-4,35.16074733,129.029048,
갤러리 수정,부산광역시 동구 수정동 1186-1,35.12573,129.04266,부산의 숨은 예술을 찾다
갤러리 플레이리스트,부산광역시 중구 중앙동2가 49-6,35.102535,129.03517,부산 현대미술의 새로운 성지
거님길공원,부산광역시 기장군 철마면 고촌리 683,35.23803877,129.1692506,
거미줄공원,부산광역시 해운대구 좌동 1334,35.1656385,129.1790889,
거북공원,부산광역시 북구 구포동 1075-17,35.20217234,128.9954043,
거북소공원,부산광역시 북구 구포동 882-30,35.19755725,129.0019476,
거성사거리 가로공원,부산광역시 연제구 거제동 905-1,35.19139012,129.0679779,
거제체육공원,부산광역시 연제구 거제동 1468-13,35.19497256,129.0819382,
