이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
열꼬치,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1451-64,부산광역시 동래구 미남로102번길 53,129.0723112,35.20387258
온천꼬치,간이 음식 포장 판매 전문점,온천2동,부산광역시 동래구 온천동 785-8,부산광역시 동래구 충렬대로107번길 127,129.072912,35.2123872
공서방떡집,떡류 제조업,부곡3동,부산광역시 금정구 부곡동 225-66,부산광역시 금정구 중앙대로1719번길 41,129.0899216,35.23768725
호도인,제과점업,구서1동,부산광역시 금정구 구서동 415-101,부산광역시 금정구 구서로 5,129.090225,35.24651324
시야김밥시야떡볶이,김밥 및 기타 간이 음식점업,부곡3동,부산광역시 금정구 부곡동 64-23,부산광역시 금정구 부곡온천천로 190,129.0905679,35.242326
씨트론과자점,제과점업,온천2동,부산광역시 동래구 온천동 707,부산광역시 동래구 충렬대로107번길 54,129.0738648,35.20840581
고고충무김밥,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1454-24,부산광역시 동래구 충렬대로126번길 19,129.0743516,35.20509924
로완,간이 음식 포장 판매 전문점,장전1동,부산광역시 금정구 장전동 47-2,부산광역시 금정구 금강로279번길 42,129.0835796,35.23408391
모리,간이 음식 포장 판매 전문점,구서2동,부산광역시 금정구 구서동 158-3,부산광역시 금정구 두실로 25,129.0884559,35.26061967
써브웨이부산명륜점,피자; 햄버거; 샌드위치 및 유사 음식점업,명륜동,부산광역시 동래구 명륜동 681-35,부산광역시 동래구 명륜로187번길 49,129.0800032,35.21101293
황태자베이커리,제과점업,부곡1동,부산광역시 금정구 부곡동 304-1,부산광역시 금정구 부곡로 107,129.0913701,35.22565895
파리바게뜨동래내성점,제과점업,온천2동,부산광역시 동래구 온천동 1439-6,부산광역시 동래구 충렬대로 157,129.0774874,35.20492831
김밥천국,김밥 및 기타 간이 음식점업,부곡3동,부산광역시 금정구 부곡동 63-11,부산광역시 금정구 수림로 12,129.0923902,35.24057331
1등식탁,간이 음식 포장 판매 전문점,부곡4동,부산광역시 금정구 부곡동 977,부산광역시 금정구 부곡로42번길 25,129.0893244,35.219972
배스킨라빈스구서역점,김밥 및 기타 간이 음식점업,구서1동,부산광역시 금정구 구서동 415-101,부산광역시 금정구 구서로 5,129.090225,35.24651324
맛나프레즐,제과점업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
부대쌀떡볶이,김밥 및 기타 간이 음식점업,장전2동,부산광역시 금정구 장전동 403-23,부산광역시 금정구 부산대학로63번길 22,129.0839202,35.23065369
서가원김밥,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1444-10,부산광역시 동래구 충렬대로108번길 6,129.0723543,35.20643112
분식그리고전,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1253-25,부산광역시 동래구 아시아드대로219번길 17,129.0659017,35.20396413
돈비락,김밥 및 기타 간이 음식점업,구서2동,부산광역시 금정구 구서동 167-96,부산광역시 금정구 중앙대로1929번길 20,129.0902764,35.25664121
더크로와상구서점,제과점업,구서2동,부산광역시 금정구 구서동 203-9,부산광역시 금정구 구서중앙로15번길 28,129.0893844,35.2535657
배스킨라빈스부산금정 이마트점,김밥 및 기타 간이 음식점업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
브레드헤븐,제과점업,부곡3동,부산광역시 금정구 부곡동 65-91,부산광역시 금정구 수림로20번길 41,129.0899733,35.2414171
최고식품마싯는끼니,김밥 및 기타 간이 음식점업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
써드비앤참,제과점업,온천3동,부산광역시 동래구 온천동 1442-22,부산광역시 동래구 미남로146번길 83,129.0746402,35.20522046
이화동,김밥 및 기타 간이 음식점업,명륜동,부산광역시 동래구 명륜동 532-27,부산광역시 동래구 충렬대로181번길 32,129.080084,35.20514505
태광떡방앗간,떡류 제조업,부곡1동,부산광역시 금정구 부곡동 303-22,부산광역시 금정구 가마실로 15-15,129.0909182,35.22559467
정가네가마솥떡볶이,김밥 및 기타 간이 음식점업,온천2동,부산광역시 동래구 온천동 1433-21,부산광역시 동래구 충렬대로137번길 27,129.0759529,35.20675694
선경떡방앗간,떡류 제조업,구서2동,부산광역시 금정구 구서동 822-2,부산광역시 금정구 금강로 576,129.0878708,35.25880044
입큰개구리,김밥 및 기타 간이 음식점업,부곡3동,부산광역시 금정구 부곡동 18-1,부산광역시 금정구 오륜대로 36,129.0959346,35.24257557
신전떡볶이구서점,김밥 및 기타 간이 음식점업,구서2동,부산광역시 금정구 구서동 735-29,부산광역시 금정구 금강로 545,129.0875812,35.25607498
성화양분식,김밥 및 기타 간이 음식점업,부곡4동,부산광역시 금정구 부곡동 726-7,부산광역시 금정구 서동로66번길 7,129.0944028,35.21760431
파리바게트금정 부곡점,제과점업,부곡1동,부산광역시 금정구 부곡동 305-1,부산광역시 금정구 부곡로 110,129.0919418,35.22568511
몽레브(Mon reve),제과점업,장전2동,부산광역시 금정구 장전동 538-1,부산광역시 금정구 금강로 209,129.0827646,35.22712306
뚜레쥬르부산동래래미안점,제과점업,온천2동,부산광역시 동래구 온천동 1853,부산광역시 동래구 충렬대로107번길 65,129.067458,35.21208399
청년다방 부산대점,김밥 및 기타 간이 음식점업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
아빠컵볶이,김밥 및 기타 간이 음식점업,온천2동,부산광역시 동래구 온천동 1853,부산광역시 동래구 충렬대로107번길 65,129.067458,35.21208399
명랑쌀핫도그온천장점,간이 음식 포장 판매 전문점,부곡4동,부산광역시 금정구 부곡동 873-33,부산광역시 금정구 오시게로 38,129.087193,35.22079278
김밥365,김밥 및 기타 간이 음식점업,구서2동,부산광역시 금정구 구서동 655-18,부산광역시 금정구 금강로 565,129.0874849,35.25788794
이삭토스트,피자; 햄버거; 샌드위치 및 유사 음식점업,온천2동,부산광역시 동래구 온천동 786-5,부산광역시 동래구 금강로 14,129.0727942,35.21250637
파리바게트두실선경점,제과점업,구서2동,부산광역시 금정구 구서동 184-38,부산광역시 금정구 중앙대로 1911,129.0910894,35.25493301
프레제구서점,제과점업,구서2동,부산광역시 금정구 구서동 167-96,부산광역시 금정구 중앙대로1929번길 20,129.0902764,35.25664121
지우분식,김밥 및 기타 간이 음식점업,온천1동,부산광역시 동래구 온천동 1850,부산광역시 동래구 온천장로65번길 9,129.079823,35.21643195
아가랑분식,김밥 및 기타 간이 음식점업,구서2동,부산광역시 금정구 구서동 654-52,부산광역시 금정구 금강로 567,129.0875673,35.25810279
숙희네왕만두,김밥 및 기타 간이 음식점업,부곡1동,부산광역시 금정구 부곡동 308-22,부산광역시 금정구 동부곡로6번길 7,129.0924604,35.22535174
베스트,간이 음식 포장 판매 전문점,온천1동,부산광역시 동래구 온천동 135-10,부산광역시 동래구 금강로 128,129.0804533,35.22004374
금정떡마을,떡류 제조업,장전1동,부산광역시 금정구 장전동 152-23,부산광역시 금정구 수림로71번길 62,129.0845564,35.2370589
마산분식,김밥 및 기타 간이 음식점업,장전1동,부산광역시 금정구 장전동 146-1,부산광역시 금정구 수림로85번길 47,129.0831791,35.23774947
땡큐이모,김밥 및 기타 간이 음식점업,구서2동,부산광역시 금정구 구서동 162-13,부산광역시 금정구 중앙대로1959번길 14,129.0905769,35.25935747
베베아또 부산본점,김밥 및 기타 간이 음식점업,명륜동,부산광역시 동래구 명륜동 756-1,부산광역시 동래구 문화로 33,129.0865157,35.21106304
떡순이방,떡류 제조업,온천3동,부산광역시 동래구 온천동 1459-2,부산광역시 동래구 충렬대로108번길 81,129.0737996,35.20325233
배떡 부산대점,김밥 및 기타 간이 음식점업,장전2동,부산광역시 금정구 장전동 423-39,부산광역시 금정구 부산대학로49번길 42,129.0852959,35.22947652
석봉토스트,피자; 햄버거; 샌드위치 및 유사 음식점업,구서2동,부산광역시 금정구 구서동 1049,부산광역시 금정구 금강로 503,129.0864946,35.2526874
