이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,
떡구름,부산광역시 금정구 구서동 1005-4,0,10:00,22:00,,,,,,
떡구름,부산광역시 금정구 구서동 1005-4,1,10:00,22:00,,,,,,
떡구름,부산광역시 금정구 구서동 1005-4,2,10:00,22:00,,,,,,
떡구름,부산광역시 금정구 구서동 1005-4,3,10:00,22:00,,,,,,
떡구름,부산광역시 금정구 구서동 1005-4,4,10:00,22:00,,,,,,
떡구름,부산광역시 금정구 구서동 1005-4,5,10:00,22:00,,,,,,
떡구름,부산광역시 금정구 구서동 1005-4,6,10:00,22:00,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,0,,,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,1,,,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,2,,,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,3,,,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,4,,,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,5,,,,,,,,
금샘떡집,부산광역시 금정구 구서동 1017-35,6,,,,,,,,
다옴;떡카페,부산광역시 금정구 구서동 1049,0,,,,,,TRUE,,
다옴;떡카페,부산광역시 금정구 구서동 1049,1,9:00,19:00,,,,,,
다옴;떡카페,부산광역시 금정구 구서동 1049,2,9:00,19:00,,,,,,
다옴;떡카페,부산광역시 금정구 구서동 1049,3,9:00,19:00,,,,,,
다옴;떡카페,부산광역시 금정구 구서동 1049,4,9:00,19:00,,,,,,
다옴;떡카페,부산광역시 금정구 구서동 1049,5,9:00,19:00,,,,,,
다옴;떡카페,부산광역시 금정구 구서동 1049,6,,,,,,TRUE,,
석봉토스트,부산광역시 금정구 구서동 1049,0,,,,,,,,
석봉토스트,부산광역시 금정구 구서동 1049,1,,,,,,,,
석봉토스트,부산광역시 금정구 구서동 1049,2,,,,,,,,
석봉토스트,부산광역시 금정구 구서동 1049,3,,,,,,,,
석봉토스트,부산광역시 금정구 구서동 1049,4,,,,,,,,
석봉토스트,부산광역시 금정구 구서동 1049,5,,,,,,,,
석봉토스트,부산광역시 금정구 구서동 1049,6,,,,,,,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,0,7:00,17:00,,,,,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,1,,,,,,TRUE,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,2,7:00,19:00,,,,,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,3,7:00,19:00,,,,,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,4,7:00,19:00,,,,,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,5,7:00,19:00,,,,,,
명품달인김밥구서점,부산광역시 금정구 구서동 1059,6,7:00,17:00,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,0,,,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,1,,,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,2,,,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,3,,,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,4,,,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,5,,,,,,,,
마시꼬마김밥,부산광역시 금정구 구서동 1074,6,,,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,0,7:00,13:30,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,1,7:00,19:00,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,2,7:00,19:00,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,3,7:00,19:00,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,4,7:00,19:00,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,5,7:00,19:00,,,,,,
정성한끼김밥달인,부산광역시 금정구 구서동 1074,6,7:00,19:00,,,,,,
동그라미,부산광역시 금정구 구서동 1078,0,7:00,19:00,,,18:30,,,
동그라미,부산광역시 금정구 구서동 1078,1,,,,,,TRUE,,
동그라미,부산광역시 금정구 구서동 1078,2,7:00,19:00,,,18:30,,,
동그라미,부산광역시 금정구 구서동 1078,3,7:00,19:00,,,18:30,,,
동그라미,부산광역시 금정구 구서동 1078,4,7:00,19:00,,,18:30,,,
동그라미,부산광역시 금정구 구서동 1078,5,7:00,19:00,,,18:30,,,
동그라미,부산광역시 금정구 구서동 1078,6,7:00,19:00,,,18:30,,,
르팽드윤,부산광역시 금정구 구서동 1078,0,8:00,22:00,,,,,,
르팽드윤,부산광역시 금정구 구서동 1078,1,8:00,22:00,,,,,,
르팽드윤,부산광역시 금정구 구서동 1078,2,8:00,22:00,,,,,,
르팽드윤,부산광역시 금정구 구서동 1078,3,8:00,22:00,,,,,,
르팽드윤,부산광역시 금정구 구서동 1078,4,8:00,22:00,,,,,,
르팽드윤,부산광역시 금정구 구서동 1078,5,8:00,22:00,,,,,,
르팽드윤,부산광역시 금정구 구서동 1078,6,8:00,22:00,,,,,,
행복한느림보 이흥용과자점,부산광역시 금정구 구서동 140-1,0,8:00,21:00,,,,,,
