이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
부산떡방앗간,부산광역시 강서구 강동동 112-13,0,,,,,,,
부산떡방앗간,부산광역시 강서구 강동동 112-13,1,,,,,,,
부산떡방앗간,부산광역시 강서구 강동동 112-13,2,,,,,,,
부산떡방앗간,부산광역시 강서구 강동동 112-13,3,,,,,,,
부산떡방앗간,부산광역시 강서구 강동동 112-13,4,,,,,,,
부산떡방앗간,부산광역시 강서구 강동동 112-13,5,,,,,,,
부산떡방앗간,부산광역시 강서구 강동동 112-13,6,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,0,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,1,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,2,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,3,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,4,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,5,,,,,,,
강동도너츠,부산광역시 강서구 강동동 1496,6,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,0,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,1,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,2,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,3,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,4,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,5,,,,,,,
강서해수매점,부산광역시 강서구 강동동 1648,6,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,0,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,1,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,2,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,3,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,4,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,5,,,,,,,
달인김밥,부산광역시 강서구 강동동 29-378,6,,,,,,,
