상가업소번호,이름,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220807079800,바당,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26710,기장군,26710259,일광읍,2671025921,일광읍,2.67E+18,1,대지,140,1,부산광역시 기장군 일광읍 삼성리 140-1,2.67E+11,부산광역시 기장군 일광읍 기장해안로,1294,,,,부산광역시 기장군 일광읍 기장해안로 1294,619912,46044,,,,129.2337102,35.25941201
MA010120220813468987,피그미,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26380,사하구,26380561,하단1동,2638010300,하단동,2.64E+18,1,대지,605,13,부산광역시 사하구 하단동 605-13,2.64E+11,부산광역시 사하구 동매로,31,,2.64E+24,피그미,부산광역시 사하구 동매로 31,604850,49428,,1,,128.9617578,35.10369221
MA010120220803435364,어리틀베이크샵,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26320,북구,26320550,덕천1동,2632010400,덕천동,2.63E+18,1,대지,412,28,부산광역시 북구 덕천동 412-28,2.63E+11,부산광역시 북구 의성로115번길,15,,2.63E+24,,부산광역시 북구 의성로115번길 15,616821,46567,,1,,129.0119381,35.2106226
MA010120220806492217,이삭토스트 동대신역점,I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,26,부산광역시,26140,서구,26140540,서대신1동,2614010500,서대신동2가,2.61E+18,1,대지,36,25,부산광역시 서구 서대신동2가 36-25,2.61E+11,부산광역시 서구 구덕로,309,1,2.61E+24,,부산광역시 서구 구덕로 309-1,602819,49227,,1,,129.016866,35.11143893
MA010120220809999604,소풍경 만덕점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26320,북구,26320572,만덕2동,2632010300,만덕동,2.63E+18,1,대지,841,,부산광역시 북구 만덕동 841,2.63E+11,부산광역시 북구 상리로18번가길,3,,2.63E+24,,부산광역시 북구 상리로18번가길 3,616827,46612,,1,,129.0359971,35.20803945
MA010120220810793479,김밥12번가,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2.65E+18,1,대지,1331,20,부산광역시 연제구 연산동 1331-20,2.65E+11,부산광역시 연제구 중앙대로,1044,,2.65E+24,,부산광역시 연제구 중앙대로 1044,611829,47599,,1,,129.0782496,35.18141313
MA010120220806847038,로얄식당,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26230,부산진구,26230780,범천2동,2623010400,범천동,2.62E+18,1,대지,1127,,부산광역시 부산진구 범천동 1127,2.62E+11,부산광역시 부산진구 엄광로,394,,2.62E+24,로얄,부산광역시 부산진구 엄광로 394,614832,47346,,,,129.047411,35.15095657
MA010120220805117690,민정,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26350,해운대구,26350525,우3동,2635010500,우동,2.64E+18,1,대지,1407,,부산광역시 해운대구 우동 1407,2.64E+11,부산광역시 해운대구 마린시티2로,33,,2.64E+24,해운대두산위브더제니스,부산광역시 해운대구 마린시티2로 33,612020,48119,,,,129.1460391,35.15682777
MA010120220810771312,동일떡방앗간,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26260,동래구,26260761,명장1동,2626010100,명장동,2.63E+18,1,대지,145,9,부산광역시 동래구 명장동 145-9,2.63E+11,부산광역시 동래구 명장로64번길,12,,2.63E+24,명장상가,부산광역시 동래구 명장로64번길 12,607809,47775,,,,129.1074706,35.20403146
MA010120220811434863,영분식,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26290,남구,26290610,용당동,2629010800,용당동,2.63E+18,1,대지,135,5,부산광역시 남구 용당동 135-5,2.63E+11,부산광역시 남구 신선로329번길,18,,2.63E+24,,부산광역시 남구 신선로329번길 18,608829,48548,,,,129.0939531,35.11534909
MA010120220810775109,열꼬치,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26260,동래구,26260570,온천3동,2626010800,온천동,2.63E+18,1,대지,1451,64,부산광역시 동래구 온천동 1451-64,2.63E+11,부산광역시 동래구 미남로102번길,53,,2.63E+24,,부산광역시 동래구 미남로102번길 53,607843,47826,,,,129.0723112,35.20387258
MA010120220805261555,신전떡볶이,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26350,해운대구,26350610,반송1동,2635010100,반송동,2.64E+18,1,대지,250,1607,부산광역시 해운대구 반송동 250-1607,2.64E+11,부산광역시 해운대구 아랫반송로59번길,48,,2.64E+24,,부산광역시 해운대구 아랫반송로59번길 48,612802,48020,,,,129.1522256,35.22332123
MA010120220801939842,온천꼬치,I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점,I56199,간이 음식 포장 판매 전문점,26,부산광역시,26260,동래구,26260560,온천2동,2626010800,온천동,2.63E+18,1,대지,785,8,부산광역시 동래구 온천동 785-8,2.63E+11,부산광역시 동래구 충렬대로107번길,127,,2.63E+24,,부산광역시 동래구 충렬대로107번길 127,607837,47729,,,,129.072912,35.2123872
MA010120220811434297,The떡,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26500,수영구,26500740,망미1동,2650010100,망미동,2.65E+18,1,대지,827,21,부산광역시 수영구 망미동 827-21,2.65E+11,부산광역시 수영구 연수로275번길,31,,2.65E+24,,부산광역시 수영구 연수로275번길 31,613826,48208,,1,,129.1007495,35.17454552
MA010120220810601086,공서방떡집,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26410,금정구,26410590,부곡3동,2641010900,부곡동,2.64E+18,1,대지,225,66,부산광역시 금정구 부곡동 225-66,2.64E+11,부산광역시 금정구 중앙대로1719번길,41,,2.64E+24,,부산광역시 금정구 중앙대로1719번길 41,609819,46277,,,,129.0899216,35.23768725
MA010120220810645510,잔치떡집,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26230,부산진구,26230510,부전1동,2623010300,부전동,2.62E+18,1,대지,267,7,부산광역시 부산진구 부전동 267-7,2.62E+11,부산광역시 부산진구 중앙대로769번길,9,,2.62E+24,동,부산광역시 부산진구 중앙대로769번길 9,614843,47251,,1,,129.0610085,35.1610803
MA010120220812322454,명인만두 거제점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26470,연제구,26470610,거제1동,2647010100,거제동,2.65E+18,1,대지,1481,,부산광역시 연제구 거제동 1481,2.65E+11,부산광역시 연제구 법원북로,34,,2.65E+24,거제현대홈타운1차,부산광역시 연제구 법원북로 34,611765,47508,,,,129.0711203,35.19243028
MA010120220810767309,안락시장떡집,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26260,동래구,26260750,안락2동,2626010200,안락동,2.63E+18,1,대지,603,1,부산광역시 동래구 안락동 603-1,2.63E+11,부산광역시 동래구 충렬대로410번길,21,,2.63E+24,안락시장상가아파트,부산광역시 동래구 충렬대로410번길 21,607830,47890,,,,129.10332,35.1954977
MA010120220806360586,배스킨라빈스,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2.63E+18,1,대지,56,13,부산광역시 남구 대연동 56-13,2.63E+11,부산광역시 남구 용소로,9,,2.63E+24,,부산광역시 남구 용소로 9,608804,48512,,,,129.1006832,35.136554
MA010120220811569151,호도인,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2.64E+18,1,대지,415,101,부산광역시 금정구 구서동 415-101,2.64E+11,부산광역시 금정구 구서로,5,,2.64E+24,,부산광역시 금정구 구서로 5,609800,46243,,,,129.090225,35.24651324
MA010120220812219998,시야김밥시야떡볶이,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26410,금정구,26410590,부곡3동,2641010900,부곡동,2.64E+18,1,대지,64,23,부산광역시 금정구 부곡동 64-23,2.64E+11,부산광역시 금정구 부곡온천천로,190,,2.64E+24,퀸즈더블유장전역,부산광역시 금정구 부곡온천천로 190,609817,46274,,,,129.0905679,35.242326
MA010120220810788070,씨트론과자점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26260,동래구,26260560,온천2동,2626010800,온천동,2.63E+18,1,대지,707,,부산광역시 동래구 온천동 707,2.63E+11,부산광역시 동래구 충렬대로107번길,54,,2.63E+24,동래럭키,부산광역시 동래구 충렬대로107번길 54,607753,47732,,,,129.0738648,35.20840581
MA010120220814027335,곰바람 안흥찐빵만두,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26710,기장군,26710250,기장읍,2671025033,기장읍,2.67E+18,1,대지,717,,부산광역시 기장군 기장읍 시랑리 717,2.67E+11,부산광역시 기장군 기장읍 기장해안로,172,,2.67E+24,스타테라스,부산광역시 기장군 기장읍 기장해안로 172,619902,46084,,,,129.2177682,35.1920131
MA010120220811441492,베스킨라빈스,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26350,해운대구,26350510,우1동,2635010500,우동,2.64E+18,1,대지,1321,,부산광역시 해운대구 우동 1321,2.64E+11,부산광역시 해운대구 구남로,30,,2.64E+24,,부산광역시 해운대구 구남로 30,612821,48094,,,,129.1604031,35.16142052
MA010120220814390343,고고충무김밥,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26260,동래구,26260570,온천3동,2626010800,온천동,2.63E+18,1,대지,1454,24,부산광역시 동래구 온천동 1454-24,2.63E+11,부산광역시 동래구 충렬대로126번길,19,,2.63E+24,,부산광역시 동래구 충렬대로126번길 19,607836,47823,,1,,129.0743516,35.20509924
MA010120220811623516,깜돌이스넥,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26410,금정구,26410530,서3동,2641011000,서동,2.64E+18,1,대지,194,13,부산광역시 금정구 서동 194-13,2.64E+11,부산광역시 금정구 서부로,17,,2.64E+24,,부산광역시 금정구 서부로 17,609848,46320,,,,129.1037081,35.21564962
