이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
보보스,남자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 334-48,부산광역시 금정구 장전로 39,129.0846185,35.22875826
유씨엘에이,남자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
까미유,여자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 1428-13,부산광역시 동래구 우장춘로4번길 38,129.0724085,35.20770082
백,가방 및 기타 가죽제품 소매업,온천2동,부산광역시 동래구 온천동 707,부산광역시 동래구 충렬대로107번길 54,129.0744066,35.20984738
모마네일,화장품; 비누 및 방향제 소매업,장전2동,부산광역시 금정구 장전동 309-3,부산광역시 금정구 금정로 64-2,129.0868449,35.23035096
손희뷰티,화장품; 비누 및 방향제 소매업,온천2동,부산광역시 동래구 온천동 782-21,부산광역시 동래구 충렬대로107번길 92-4,129.0736383,35.21072565
마스터바니크리스메프엔씨,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
포우구제가게,기타 중고 상품 소매업,부곡2동,부산광역시 금정구 부곡동 296-46,부산광역시 금정구 서부곡로16번길 50,129.0911419,35.22832128
디올,의복 액세서리 및 모조 장신구 소매업,장전2동,부산광역시 금정구 장전동 643-83,부산광역시 금정구 장전온천천로 43,129.0890625,35.22903306
개구리문구,문구용품 및 회화용품 소매업,온천3동,부산광역시 동래구 온천동 1461-30,부산광역시 동래구 충렬대로100번길 84-2,129.0721583,35.20346968
태후사랑,화장품; 비누 및 방향제 소매업,부곡3동,부산광역시 금정구 부곡동 215-3,부산광역시 금정구 무학송로 94-1,129.0934734,35.2395543
메가마트제인스딘 동래점,속옷 및 잠옷 소매업,명륜동,부산광역시 동래구 명륜동 506-3,부산광역시 동래구 충렬대로 197,129.0811338,35.20455026
쌤소ATSIS 이마트금정,가방 및 기타 가죽제품 소매업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
폰케이스#,가방 및 기타 가죽제품 소매업,장전2동,부산광역시 금정구 장전동 309-16,부산광역시 금정구 금정로68번길 6,129.0868621,35.23059397
아이더동래메가마트점,기타 의복 소매업,명륜동,부산광역시 동래구 명륜동 506-3,부산광역시 동래구 충렬대로 197,129.0811338,35.20455026
위즈글로벌,화장품; 비누 및 방향제 소매업,온천2동,부산광역시 동래구 온천동 751-13,부산광역시 동래구 중앙대로1367번길 52,129.0753248,35.21012
벨라,여자용 겉옷 소매업,구서1동,부산광역시 금정구 구서동 413-6,부산광역시 금정구 수림로72번길 156,129.0880001,35.24628132
베베드피노 금정점,유아용 의류 소매업,장전2동,부산광역시 금정구 장전동 629-8,부산광역시 금정구 금강로 206-16,129.083309,35.22650992
사라,셔츠 및 블라우스 소매업,장전2동,부산광역시 금정구 장전동 312-23,부산광역시 금정구 금정로68번길 12-18,129.0871014,35.23007619
케이스팜,가방 및 기타 가죽제품 소매업,장전2동,부산광역시 금정구 장전동 643-3,부산광역시 금정구 장전온천천로 47,129.0890372,35.22933087
토탈할인점,여자용 겉옷 소매업,온천3동,부산광역시 동래구 온천동 1377-28,부산광역시 동래구 여고북로73번길 22,129.0689581,35.20153287
라코스테,신발 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
유얼샵,셔츠 및 블라우스 소매업,장전1동,부산광역시 금정구 장전동 222-41,부산광역시 금정구 금정로 143-2,129.08761,35.23749287
씨앤보코,여자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
스쿨룩스 금정점,기타 의복 소매업,부곡2동,부산광역시 금정구 부곡동 266-1,부산광역시 금정구 부곡로 165,129.0919826,35.23069479
에디션앤드지,가죽 및 모피 의복 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
로카버,신발 소매업,구서2동,부산광역시 금정구 구서동 1018-18,부산광역시 금정구 두실로37번길 32,129.0867021,35.25949647
엘리트학생복 부곡점,기타 의복 소매업,부곡2동,부산광역시 금정구 부곡동 241-2,부산광역시 금정구 동부곡로5번길 153,129.0932532,35.23270039
비와이씨 온천점,속옷 및 잠옷 소매업,장전2동,부산광역시 금정구 장전동 654-18,부산광역시 금정구 온천장로125번길 32-1,129.083739,35.22314123
한섬아울렛 FX&SJ,여자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 423-5,부산광역시 금정구 금강로 242,129.0849245,35.22955501
까르뜨블랑슈,남자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
수하뷰티,화장품; 비누 및 방향제 소매업,부곡2동,부산광역시 금정구 부곡동 292-23,부산광역시 금정구 동부곡로9번길 19,129.0929429,35.226605
센스,여자용 겉옷 소매업,부곡1동,부산광역시 금정구 부곡동 505-11,부산광역시 금정구 동부곡로 14,129.093335,35.22562497
대한유통,여자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
욱브로,남자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 312-24,부산광역시 금정구 금정로68번길 12-22,129.0870335,35.22999626
