이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고
20데이,부산광역시 금정구 장전동 312-35,0,,,,,,,
20데이,부산광역시 금정구 장전동 312-35,1,,,,,,,
20데이,부산광역시 금정구 장전동 312-35,2,,,,,,,
20데이,부산광역시 금정구 장전동 312-35,3,,,,,,,
20데이,부산광역시 금정구 장전동 312-35,4,,,,,,,
20데이,부산광역시 금정구 장전동 312-35,5,,,,,,,
20데이,부산광역시 금정구 장전동 312-35,6,,,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,0,11:00,21:00,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,1,11:00,21:00,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,2,11:00,21:00,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,3,11:00,21:00,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,4,11:00,21:00,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,5,11:00,21:00,,,,,
4F갤러리,부산광역시 금정구 부곡동 897-5,6,11:00,21:00,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,0,,,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,1,,,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,2,,,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,3,,,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,4,,,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,5,,,,,,,
A＆KKorea,부산광역시 금정구 부곡동 65-15,6,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,0,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,1,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,2,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,3,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,4,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,5,,,,,,,
BYC 온천점,부산광역시 금정구 장전동 654-18,6,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,0,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,1,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,2,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,3,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,4,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,5,,,,,,,
Classy,부산광역시 금정구 장전동 415-17,6,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,0,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,1,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,2,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,3,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,4,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,5,,,,,,,
feel&me,부산광역시 금정구 장전동 302-22,6,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,0,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,1,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,2,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,3,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,4,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,5,,,,,,,
ITC,부산광역시 금정구 부곡동 299-4,6,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,0,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,1,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,2,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,3,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,4,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,5,,,,,,,
J.C아로마건강요법,부산광역시 금정구 부곡동 394-15,6,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,0,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,1,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,2,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,3,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,4,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,5,,,,,,,
J.J어패럴,부산광역시 동래구 온천동 502-3,6,,,,,,,
JH스포츠,부산광역시 금정구 장전동 415-9,0,,,,,,,
JH스포츠,부산광역시 금정구 장전동 415-9,1,,,,,,,
